INDEX,P_TARGET_WINS
9,63
10,64
14,74
47,86
60,67
63,71
74,79
83,77
98,71
120,74
123,70
135,83
138,82
140,82
151,83
153,76
171,74
184,79
193,73
213,92
217,83
226,84
230,82
241,72
291,82
294,86
300,53
348,77
350,86
357,77
367,92
368,86
372,83
382,85
388,81
396,86
398,76
403,90
407,89
410,92
412,83
414,91
436,34
440,97
476,89
479,93
481,98
501,78
503,71
506,81
519,78
522,85
550,78
554,73
566,76
578,78
596,93
599,76
605,67
607,80
614,88
644,74
692,87
699,85
700,82
716,96
721,78
722,83
729,78
731,89
746,87
763,70
774,77
776,88
788,82
789,85
792,81
811,83
835,74
837,77
861,86
862,90
863,99
871,76
879,85
887,79
892,81
904,83
909,87
925,90
940,78
951,103
976,75
981,85
983,85
984,84
989,88
995,104
1000,88
1001,88
1007,81
1016,75
1027,84
1033,83
1070,79
1081,73
1084,54
1098,78
1150,87
1160,61
1169,84
1172,85
1174,92
1176,91
1178,81
1184,79
1193,85
1196,81
1199,76
1207,75
1218,90
1223,70
1226,70
1227,72
1229,70
1241,88
1244,92
1246,78
1248,94
1249,93
1253,87
1261,79
1305,79
1314,86
1323,86
1328,74
1353,74
1363,77
1371,85
1372,80
1389,68
1393,73
1421,91
1431,75
1437,72
1442,73
1450,78
1463,79
1464,78
1470,83
1471,82
1484,80
1495,34
1507,70
1514,76
1526,69
1549,89
1552,66
1556,96
1564,75
1585,106
1586,107
1590,95
1591,105
1592,99
1603,90
1612,81
1634,80
1645,72
1647,80
1673,89
1674,89
1687,82
1688,95
1700,85
1708,74
1713,77
1717,71
1721,75
1730,78
1737,84
1748,88
1749,84
1763,85
1768,94
1778,90
1780,88
1782,56
1784,61
1794,108
1803,74
1804,82
1819,78
1832,78
1833,82
1844,69
1847,79
1854,84
1855,80
1857,85
1864,76
1865,80
1869,75
1880,91
1881,80
1882,83
1894,79
1896,78
1916,81
1918,73
1921,106
1926,92
1938,83
1979,66
1982,70
1987,84
1997,79
2004,92
2011,77
2015,79
2022,80
2025,74
2027,82
2031,74
2036,76
2066,74
2073,81
2087,80
2092,82
2125,71
2148,79
2162,93
2191,78
2203,87
2218,80
2221,75
2225,82
2232,77
2267,92
2291,74
2299,90
2317,86
2318,83
2353,81
2403,63
2411,86
2415,80
2424,85
2441,73
2464,83
2465,82
2472,64
2481,93
2487,68
2500,69
2501,76
2520,82
2521,82
2525,79
